title,date,views,replies
Scales of Stone,"Sun Dec 16, 2018 12:56 am",10194,34
Seeing Behind the Curtain,"Sun Dec 09, 2018 12:19 am",11165,33
Old Habits,"Tue Nov 27, 2018 5:25 pm",5430,13
Family Reunion,"Tue Nov 13, 2018 10:58 am",4853,24
Pulled in Two Directions,"Sat Nov 17, 2018 7:53 pm",3069,28
Planning for Home,"Sun Nov 04, 2018 12:05 am",2124,15
Artificial Paradise,"Sat Oct 20, 2018 7:35 pm",3836,44
Oasis Room,"Mon Oct 15, 2018 8:53 pm",3400,39
Enjoying Freedom,"Fri Oct 05, 2018 8:34 pm",2565,22
Madelyn Complex,"Tue Sep 11, 2018 8:51 pm",4186,38
Cracked Facade,"Sat Jun 30, 2018 7:28 pm",6066,55
"Assassin Siblings, Catching U- Kei!","Sat Sep 01, 2018 10:36 pm",5818,57
"Assassin Siblings, Catching Up, Pt 4","Tue Aug 21, 2018 9:06 am",6138,59
"Assassin Siblings, Catching Up, Pt 3","Thu Aug 09, 2018 8:52 am",3877,45
Mischief Makers Meet,"Sat May 12, 2018 8:21 am",5520,43
"Assassin Siblings, Catching Up, Pt 2","Sat Jul 28, 2018 8:36 am",3297,25
"Assassin Siblings, Catching Up, Pt 1","Sat Jul 14, 2018 8:08 pm",4359,45
Being honest,"Thu Jul 05, 2018 5:12 pm",3704,31
Aural Explanation,"Tue May 22, 2018 10:08 pm",7005,72
Indecent Proposal,"Tue Jun 19, 2018 4:11 am",4775,38
Sneaking Around,"Sat Jun 02, 2018 7:07 pm",5427,60
What Rose Knows,"Tue Jun 12, 2018 11:00 pm",2450,23
Bedside Discussion,"Sun May 06, 2018 4:59 pm",3790,33
Seeing Double,"Sun Apr 22, 2018 6:26 pm",5861,65
"April 28, 2018","Sat Apr 28, 2018 10:49 pm",3974,29
"March 24, 2018","Sat Mar 24, 2018 8:10 am",6946,69
Chapter 20,"Fri Apr 20, 2018 5:15 am",4287,51
Chapter 19 Epilogue,"Sat Apr 07, 2018 10:58 am",8323,94
Magic Stick!,"Fri Mar 02, 2018 2:27 am",4168,32
Euchre's Motives,"Fri Mar 30, 2018 8:01 pm",6847,83
Dragon Genealogy,"Fri Feb 16, 2018 3:20 am",6679,54
Squirreled Away,"Thu Mar 15, 2018 9:09 am",5069,50
Doorway,"Sat Mar 10, 2018 7:33 pm",6000,59
Young Dragoness,"Thu Feb 22, 2018 9:33 pm",3469,23
The Pecking Order,"Thu Feb 08, 2018 10:48 am",3666,27
Dragon Hierarchy,"Sun Jan 28, 2018 8:32 pm",4777,38
Mind Trip,"Thu Jan 18, 2018 10:08 am",4348,38
Assassin Broers Family Reunion,"Fri Jan 12, 2018 10:09 am",5585,54
Manor Defenses,"Thu Dec 07, 2017 8:07 am",7732,80
Talking to e Ex,"Sat Dec 16, 2017 12:24 pm",7379,56
Sythe-o-Vision,"Thu Dec 28, 2017 10:12 am",6363,57
Getting Reacquainted,"Thu Dec 14, 2017 10:48 am",3610,32
Reunion,"Thu Nov 30, 2017 7:04 am",4327,39
Dragon Landing,"Sat Nov 18, 2017 10:51 pm",6225,57
Clovis,"Thu Sep 14, 2017 7:12 pm",3906,32
"November 10, 2017","Sat Nov 11, 2017 9:52 pm",5344,43
Link Reestablished,"Thu Oct 26, 2017 6:58 pm",4451,41
Reni Readies Recon Run,"Wed Nov 08, 2017 5:05 am",4549,43
"October 21st, 2017","Sun Oct 22, 2017 2:11 am",3564,30
Post Victory,"Sun Oct 15, 2017 12:47 pm",5772,50
"October 17, 2017","Tue Oct 17, 2017 10:09 pm",6079,55
Raine v Carver,"Thu Oct 12, 2017 7:03 am",5506,51
Breaking Point,"Wed Oct 04, 2017 6:51 am",9000,86
Breakrough,"Sun Oct 01, 2017 4:38 am",5974,53
"Go for e Eyes, Nibs!","Thu Sep 28, 2017 9:08 am",5454,47
"September 6, 2017","Thu Sep 07, 2017 1:59 am",5464,40
"September 23rd, 2017","Sat Sep 23, 2017 10:48 pm",3060,34
"August 24, 2017 ""Manor Manners""","Thu Aug 24, 2017 8:21 pm",5604,47
September 1 2017 - Stove Pot of Coffee,"Fri Sep 01, 2017 1:38 pm",3180,22
"August 17, 2017","Fri Aug 18, 2017 2:05 am",3115,25
"August 9, 2017 ""Early Riser""","Thu Aug 10, 2017 3:33 am",7134,56
Shedding Secrets,"Wed Aug 02, 2017 9:10 am",3788,24
Carver's True Nature,"Wed Jul 19, 2017 11:50 am",4429,37
Raine's Rumination,"Thu Jul 13, 2017 8:03 pm",4346,26
Carver,"Sun Jul 09, 2017 12:44 am",6686,61
"When in Doubt, Blow it up","Thu Jul 06, 2017 2:29 am",3635,31
"July 1st, 2017 Hitting a Road Block","Sat Jul 01, 2017 6:59 pm",5332,46
Sunny Morning Raine,"Wed Jun 28, 2017 4:26 pm",3209,23
Touch Stripey Tail,"Wed Jun 21, 2017 8:23 pm",4210,28
Nighttime Stakeout,"Sat Jun 24, 2017 10:38 pm",3573,32
Life's Strange Roads,"Thu Jun 15, 2017 1:42 am",3631,25
Just Pulling Your Tail,"Sun Jun 04, 2017 11:38 pm",7073,53
Realizing the Perks,"Sat May 27, 2017 4:30 am",10066,78
Paying The Price,"Wed Jun 07, 2017 7:06 pm",5865,49
Catching up wi Meals,"Sat May 20, 2017 12:20 am",5430,51
Instant Roomservice,"Thu May 04, 2017 4:06 am",9498,91
"April 22nd, 2017","Sat Apr 22, 2017 7:25 pm",5006,45
"April 13, 2017","Thu Apr 13, 2017 6:31 am",5565,49
Heavy Raine,"Wed Apr 05, 2017 11:35 pm",4834,48
"March 18, 2017","Sat Mar 18, 2017 10:48 pm",7631,76
"Wednesday, January 11, 2017","Wed Jan 11, 2017 10:48 am",6834,58
Nibbly's Secret,"Sat Apr 01, 2017 8:18 am",3274,26
"March 28, 2017","Wed Mar 29, 2017 2:12 am",4514,44
"March 11, 2017","Sat Mar 11, 2017 11:22 pm",5597,60
"Saturday, March 4, 2017","Sat Mar 04, 2017 9:17 pm",4209,41
"February 25, 2017","Sat Feb 25, 2017 9:52 am",6602,56
"February 16, 2017","Fri Feb 17, 2017 3:57 am",4961,36
"February 12, 2017","Sun Feb 12, 2017 6:05 pm",6038,61
"Saturday, December 17, 2016","Sat Dec 17, 2016 7:01 pm",5278,47
"Thursday, December 22nd, 2016","Thu Dec 22, 2016 10:57 am",4081,33
"Wednesday, December 14, 2016","Wed Dec 14, 2016 5:16 am",4388,46
"December 8, 2016","Thu Dec 08, 2016 8:16 pm",7874,79
"December 10, 2016","Sat Dec 10, 2016 7:38 pm",5080,53
"December 3rd, 2016","Sat Dec 03, 2016 7:45 pm",5788,54
"November 25, 2016","Fri Nov 25, 2016 12:16 pm",4567,43
"November 19, 2016","Sat Nov 19, 2016 9:11 am",3920,35
"Friday, November 11, 2016","Fri Nov 11, 2016 12:55 am",7764,71
"October 31, 2016","Tue Nov 01, 2016 1:39 am",7114,71
"November 6, 2016","Sun Nov 06, 2016 6:54 am",5912,64
"October 29, 2016","Sat Oct 29, 2016 9:36 am",8402,83
"October 22, 2016","Sat Oct 22, 2016 4:19 pm",4368,43
"October 19, 2016","Wed Oct 19, 2016 7:50 am",8853,98
"October 12, 2016","Wed Oct 12, 2016 8:58 pm",7875,102
September 14 2016,"Thu Sep 15, 2016 2:37 am",7543,82
"October 5, 2016","Thu Oct 06, 2016 1:06 am",5057,49
"September 29, 2016","Thu Sep 29, 2016 9:01 pm",7273,66
"Sunday, September 25, 2016","Sun Sep 25, 2016 9:47 pm",8295,84
"Wednesday, September 21st, 2016","Thu Sep 22, 2016 1:30 am",4773,47
September 11 2016,"Sun Sep 11, 2016 7:04 am",5903,72
"Thursday, September 1st, 2016","Thu Sep 01, 2016 10:31 am",5628,70
"Thursday, August 11, 2016","Thu Aug 11, 2016 5:23 am",8801,102
"Wednesday, August 17, 2016","Thu Aug 18, 2016 12:51 am",8756,118
"Friday, August 26, 2016","Fri Aug 26, 2016 9:08 am",7288,94
"Wednesday, August 3rd 2016","Wed Aug 03, 2016 10:26 am",4883,56
"Saturday, July 30 2016","Sun Jul 31, 2016 3:02 am",5083,61
July 20 2016,"Wed Jul 20, 2016 1:02 pm",8087,88
June 30,"Thu Jun 30, 2016 7:12 am",8948,83
July 13 2016,"Thu Jul 14, 2016 2:12 am",7250,90
"Wednesday July 6, 2016","Wed Jul 06, 2016 11:32 am",8930,91
"Wednesday, June 22 2016","Wed Jun 22, 2016 11:00 am",9412,80
June 17 2016,"Fri Jun 17, 2016 5:07 am",8437,64
June 8 2016,"Wed Jun 08, 2016 4:14 am",7783,71
"Sunday June 5, 2016","Sun Jun 05, 2016 8:55 pm",5239,41
"Thursday June 2nd, 2016","Thu Jun 02, 2016 3:55 pm",5238,42
Wed May 25 2016,"Wed May 25, 2016 5:41 pm",5375,49
"Sunday, May 22, 2016","Sun May 22, 2016 10:42 pm",6851,64
"Wednesday, May 18, 2016","Wed May 18, 2016 6:07 am",13974,127
"Wednesday May 11, 2016","Wed May 11, 2016 3:19 pm",11899,118
May 4 2016,"Wed May 04, 2016 4:59 am",7452,69
"Friday, April 22, 2016","Fri Apr 22, 2016 11:00 pm",9857,100
April 15 2016,"Fri Apr 15, 2016 6:14 pm",8784,97
April 9 2016,"Sat Apr 09, 2016 8:29 am",7438,85
"Thursday, March 31, 2016","Thu Mar 31, 2016 7:32 pm",10716,111
"Wednesday, March 23, 2016","Wed Mar 23, 2016 10:12 am",5591,60
"Thursday, March 18, 2016","Fri Mar 18, 2016 6:43 am",6490,70
"Wednesday, March 9, 2016","Thu Mar 10, 2016 4:59 am",5172,56
"Wednesday, March 2 2016","Thu Mar 03, 2016 12:36 am",6909,79
"Thursday, 2/25/16","Thu Feb 25, 2016 6:59 am",6496,55
"Wednesday, February 10, 2016","Wed Feb 10, 2016 10:54 pm",7552,85
"Thursday, February 4, 2016","Thu Feb 04, 2016 5:26 am",6724,60
"Thursday, January 28, 2016","Thu Jan 28, 2016 9:10 pm",7319,84
"Saturday, January 23rd, 2016","Sun Jan 24, 2016 6:18 am",5867,74
"Wednesday, January 20, 2015","Wed Jan 20, 2016 10:37 pm",8624,89
"Thursday, January 14, 2016","Thu Jan 14, 2016 5:18 am",7475,75
"January 9, 2016","Sat Jan 09, 2016 7:47 am",6300,67
"Wednesday, January 6, 2016","Wed Jan 06, 2016 12:40 pm",7891,71
"Thursday, December 24, 2015","Thu Dec 24, 2015 12:29 pm",7238,69
"Wednesday, December 16, 2015","Wed Dec 16, 2015 10:24 pm",7327,64
"Thursday, December 10, 2015","Thu Dec 10, 2015 6:36 am",7208,68
"Wednesday, 12/02/15","Wed Dec 02, 2015 11:05 am",5538,47
November 18 2015,"Thu Nov 19, 2015 3:14 am",3937,43
"Wensday, October 28","Wed Oct 28, 2015 11:25 pm",10634,121
November 11 2015,"Wed Nov 11, 2015 9:12 am",5512,68
October 22 2015,"Thu Oct 22, 2015 9:08 am",3765,40
October 14 2015,"Thu Oct 15, 2015 12:56 am",8005,74
"October 7, 2015","Wed Oct 07, 2015 10:54 am",8546,76
"September 23, 2015","Wed Sep 23, 2015 1:53 pm",10315,100
Thursday 09/17/15,"Thu Sep 17, 2015 10:19 am",4137,52
September 10 2015,"Thu Sep 10, 2015 9:48 am",5500,62
Thursday 9/3/2015,"Thu Sep 03, 2015 4:18 am",7901,83
"Wednesday, August 26 2015","Wed Aug 26, 2015 10:04 pm",10252,97
"Monday, August 17 2015","Mon Aug 17, 2015 8:40 am",7570,75
March 11 2015,"Wed Mar 11, 2015 4:20 am",8242,107
"Wednesday, August 5 2015","Wed Aug 05, 2015 4:17 am",5809,63
"Saturday, August 1st 2015","Sat Aug 01, 2015 5:00 am",3086,26
"Saturday, July  25, 2015","Sat Jul 25, 2015 5:26 am",4279,49
"Saturday, July 18 2015","Sat Jul 18, 2015 5:48 am",11557,134
"Wednesday, July 15 2015","Wed Jul 15, 2015 6:04 am",4817,53
"Sunday, June 21, 2015","Sun Jun 21, 2015 4:57 am",6849,78
July 8 2015,"Wed Jul 08, 2015 4:53 am",5666,75
"Thursday, June 25, 201- WAIT","Thu Jun 25, 2015 6:48 pm",863,2
June 18 2015,"Thu Jun 18, 2015 8:11 am",3420,39
June 11 2015,"Thu Jun 11, 2015 7:49 am",6562,53
"Thursday, June 04 2015","Thu Jun 04, 2015 6:48 am",4129,33
"May 27, 2015","Wed May 27, 2015 10:05 pm",6872,64
may 18 2015,"Mon May 18, 2015 8:32 pm",4339,37
"Sunday, May 11 2015","Mon May 11, 2015 9:51 am",8711,72
"Wednesday, May 6 2015","Thu May 07, 2015 4:03 am",8789,74
Monday May 4 2015,"Mon May 04, 2015 10:08 am",8574,84
"Wednesday, April 29 2015","Wed Apr 29, 2015 4:13 am",7108,72
"Sunday, April 26 2015","Sun Apr 26, 2015 9:54 am",5697,51
"Sunday, April 19 2015","Sun Apr 19, 2015 10:29 am",6135,62
"Wednesday, April 22 2015","Wed Apr 22, 2015 6:12 am",8221,85
Thursday April 15 2015,"Wed Apr 15, 2015 7:08 pm",3570,38
Thursday April 2 2015,"Thu Apr 02, 2015 7:31 am",5636,44
"Sunday, March 29 2015","Sun Mar 29, 2015 5:38 pm",6257,59
"Thursday, March 19, 2015","Thu Mar 19, 2015 8:40 pm",8007,100
"March 4, 2015","Wed Mar 04, 2015 5:09 am",8593,99
"Saturday, February 28 2015","Sat Feb 28, 2015 9:09 pm",5420,59
"Wednesday, February 11, 2015","Wed Feb 11, 2015 8:36 pm",19537,242
"Wednesday, February 4, 2015","Wed Feb 04, 2015 7:52 am",7497,63
"Saturday, January 31, 2015","Sat Jan 31, 2015 9:09 pm",4463,56
"Wednesday, January 28, 2015","Wed Jan 28, 2015 8:34 pm",5438,61
"Sunday, January 25 2015","Sun Jan 25, 2015 7:13 pm",5002,47
"Thursday, January 15 2015","Thu Jan 15, 2015 9:36 pm",8291,87
"Saturday, January 10, 2015","Sat Jan 10, 2015 8:27 am",4316,36
"December 23, 2014","Wed Dec 24, 2014 2:11 am",5297,41
"Wednesday, December 17 2014","Wed Dec 17, 2014 8:48 am",4083,37
"Thursday, December 11 2014","Thu Dec 11, 2014 4:27 am",6078,63
"Thursday, Sept 11 2014","Thu Sep 11, 2014 8:58 pm",6792,55
"Monday, November 10 2014","Mon Nov 10, 2014 6:46 am",4741,48
Nov 10 2014 - Mrs. Nibbly,"Wed Nov 12, 2014 6:29 pm",786,3
"Thursday, November 6 2014","Thu Nov 06, 2014 3:51 pm",3990,42
"Friday, October 24 2014","Fri Oct 24, 2014 3:28 am",5856,64
"Saturday, October 11, 2014","Sat Oct 11, 2014 2:54 am",7266,77
"Wednesday, July 2nd 2014","Thu Jul 03, 2014 12:09 am",8319,94
"Thursday, October 02 2014","Thu Oct 02, 2014 3:20 pm",4333,41
"Thursday, Sept 04 2014","Thu Sep 04, 2014 10:31 am",5781,53
"Friday, August 29 2014","Fri Aug 29, 2014 9:05 pm",4910,40
"Wednesday, July 23rd, 2014","Wed Jul 23, 2014 5:42 am",6769,80
"Saturday, August 9 2014","Sat Aug 09, 2014 3:21 am",5542,75
"Saturday, July 19, 2014","Sat Jul 19, 2014 10:07 pm",5670,70
"Wednesday, July 16 2014","Wed Jul 16, 2014 11:59 pm",6548,83
"Wednesday, June 25 2014","Wed Jun 25, 2014 7:19 pm",6152,92
"Wednesday, May 21st 2014","Wed May 21, 2014 12:48 pm",16776,266
"Saturday, May 10 2014","Sat May 10, 2014 9:38 am",10194,141
"Sunday, February 9, 2014","Sun Feb 09, 2014 10:06 am",6820,72
"Thursday, February 27, 2014","Thu Feb 27, 2014 7:12 am",9339,73
"Friday, February 21st, 2014","Fri Feb 21, 2014 1:03 pm",6474,59
"February 5, 2014","Thu Feb 06, 2014 3:04 am",7269,91
"Sunday, December 22, 2013","Mon Dec 23, 2013 3:21 am",6646,68
"December 7, 2013","Sun Dec 08, 2013 1:37 am",5714,64
"Wednesday, November 13, 2013","Wed Nov 13, 2013 5:20 am",4442,41
"Saturday, November 9, 2013","Sat Nov 09, 2013 9:04 am",3181,36
"Friday, November 8, 2013","Fri Nov 08, 2013 7:15 am",1954,18
"Monday, October 28, 2013","Mon Oct 28, 2013 5:51 am",2172,20
"October 27, 2013","Sun Oct 27, 2013 4:54 am",2827,24
"Saturday, October 26, 2013","Sat Oct 26, 2013 4:37 am",2531,22
"Friday, October 25, 2013","Fri Oct 25, 2013 6:17 am",2673,36
sunday Sept 29 2013,"Sun Sep 29, 2013 9:52 am",5622,78
"Sunday, August 4, 2013","Sun Aug 04, 2013 4:45 pm",5030,55
"Wednsday, June 26, 2013 *PLACE HOLDER*","Wed Jun 26, 2013 11:40 pm",1343,7
"June 16, 2013","Sun Jun 16, 2013 9:44 pm",7307,39
June 6 2013,"Thu Jun 06, 2013 7:09 pm",9977,89
"Thursday, May 30, 2013","Thu May 30, 2013 7:33 pm",9211,73
"May 19, 2013","Sun May 19, 2013 9:54 pm",11210,103
"May 16, 2013","Thu May 16, 2013 3:35 pm",10844,95
"May 12, 2013 - Happy Mother's Day!","Sun May 12, 2013 7:08 pm",9203,78
"May 5, 2013","Sun May 05, 2013 11:16 am",11606,116
"May 9, 2013","Fri May 10, 2013 12:57 am",6730,43
"April 12, 2013","Fri Apr 12, 2013 4:27 am",6210,37
"Friday April 5, 2013","Fri Apr 05, 2013 10:52 pm",4974,44
Sunday April 7,"Sun Apr 07, 2013 12:58 pm",1493,0
1st April 2013,"Mon Apr 01, 2013 10:14 am",1663,0
"Thursday, March 28, 2013","Thu Mar 28, 2013 8:31 am",4930,33
"Thursday March 21, 2013","Fri Mar 22, 2013 12:18 am",9373,83
March 17 2013,"Sun Mar 17, 2013 7:02 pm",11801,127
20Mar2013,"Thu Mar 21, 2013 2:25 am",2986,14
"March 14, 2013","Thu Mar 14, 2013 6:41 pm",7760,67
"March 10, 2013","Mon Mar 11, 2013 3:32 am",8318,87
"March 4, 2013","Mon Mar 04, 2013 9:42 am",8204,100
"Thursday, March 7 2013","Thu Mar 07, 2013 4:32 pm",5038,41
"Wednesday, February 27 2013","Thu Feb 28, 2013 1:56 am",6491,65
"Wednesday, February 20, 2013","Thu Feb 21, 2013 4:38 am",5842,55
"Wednesday, February 6 2013","Wed Feb 06, 2013 10:36 am",7485,74
"Saturday, February 2nd, 2013","Sun Feb 03, 2013 2:10 am",7739,102
"Wednesday, January 30, 2013","Wed Jan 30, 2013 11:02 am",5963,66
"Wednesday, December 5, 2012","Thu Dec 06, 2012 12:54 am",7378,50
"Christmas, December 25, 2012","Tue Dec 25, 2012 3:38 pm",8523,71
"December 12, 2012","Thu Dec 13, 2012 2:06 am",7312,72
"Wednesday, December 19, 2012","Wed Dec 19, 2012 5:53 pm",4883,33
"Saturday, December 8, 2012","Sat Dec 08, 2012 11:19 am",6382,69
"Wednesday, November 21st, 2012","Wed Nov 21, 2012 12:12 pm",11407,126
"November 28, 2012","Wed Nov 28, 2012 10:39 pm",7103,69
"November 14, 2012","Thu Nov 15, 2012 3:22 am",4675,40
"November 8, 2012","Thu Nov 08, 2012 7:34 am",6396,66
"October 27, 2012","Sat Oct 27, 2012 9:50 pm",4285,30
"October 20, 2012","Sun Oct 21, 2012 3:39 am",5829,60
"October 13, 2012","Sat Oct 13, 2012 5:10 am",6493,61
"October 6, 2012","Sat Oct 06, 2012 6:46 am",5424,53
"October 3rd, 2012","Wed Oct 03, 2012 7:43 pm",7732,95
"October 3rd, 2012","Wed Oct 03, 2012 7:53 pm",1350,2
"September 29, 2012","Sat Sep 29, 2012 7:08 pm",8149,99
"september 26, 2012","Wed Sep 26, 2012 8:12 pm",7278,73
"September 19, 2012","Thu Sep 20, 2012 12:10 am",9077,110
"september 15, 2012","Sat Sep 15, 2012 6:41 pm",7254,90
"September 12, 2012","Wed Sep 12, 2012 12:28 pm",5552,78
"September 5, 2012","Wed Sep 05, 2012 9:13 am",8124,92
Thursday March 12,"Fri May 13, 2011 5:18 am",7617,77
"August 29, 2012","Wed Aug 29, 2012 7:35 pm",6563,75
"August 22nd, 2012","Wed Aug 22, 2012 11:57 am",5655,55
"August 15, 2012","Wed Aug 15, 2012 4:08 pm",4502,40
"August 9, 2012","Thu Aug 09, 2012 7:59 am",6657,83
august 1st 2012,"Wed Aug 01, 2012 11:05 am",6037,79
"July 19, 2012","Thu Jul 19, 2012 11:00 pm",1326,2
"July 4, 2012","Wed Jul 04, 2012 7:56 am",8915,135
"July 11, 2012","Wed Jul 11, 2012 6:42 am",5125,52
"June 13, 2012","Wed Jun 13, 2012 6:00 pm",5179,38
"June 6, 2012","Wed Jun 06, 2012 4:20 pm",6550,55
May 30 2012,"Wed May 30, 2012 11:39 am",6366,64
May 24 2012,"Thu May 24, 2012 5:56 am",9294,122
"may 16, 2012","Wed May 16, 2012 11:49 am",6413,51
"Wednesday, May 9, 2012","Wed May 09, 2012 3:59 pm",9550,101
may 9,"Wed May 09, 2012 8:38 am",1749,5
"April 25, 2012","Wed Apr 25, 2012 10:13 am",5815,57
"january 4, 2011","Wed Jan 04, 2012 10:39 am",6444,55
"April 18, 2012","Wed Apr 18, 2012 5:30 pm",8782,94
"April 12, 2012","Thu Apr 12, 2012 8:46 am",10734,129
"April 4, 2012","Wed Apr 04, 2012 12:24 pm",11477,136
"April 11, 2012 (filler)","Wed Apr 11, 2012 7:19 am",4023,36
"March 28, 2012","Thu Mar 29, 2012 10:04 am",11841,131
"March 21st, 2012","Wed Mar 21, 2012 1:56 pm",9470,96
"March 14, 2012","Wed Mar 14, 2012 8:56 am",7028,61
